x,y,p,phi_on_grid
0.0222222,0.305556,1.82102,1.821
0.0222222,0.311111,1.81482,1.8148
0.0222222,0.316667,1.80853,1.80851
0.0222222,0.322222,1.80215,1.80214
0.0222222,0.327778,1.79569,1.79568
0.0222222,0.333333,1.78914,1.78914
0.0222222,0.338889,1.78251,1.78251
0.0222222,0.344444,1.7758,1.7758
0.0222222,0.35,1.76902,1.76902
0.0222222,0.355556,1.76215,1.76216
0.0222222,0.361111,1.75521,1.75521
0.0222222,0.366667,1.74819,1.7482
0.0222222,0.372222,1.7411,1.74111
0.0222222,0.377778,1.73393,1.73395
0.0222222,0.383333,1.7267,1.72672
0.0222222,0.388889,1.71939,1.71942
0.0222222,0.394444,1.71202,1.71205
0.0222222,0.4,1.70459,1.70461
0.0222222,0.405556,1.69709,1.69711
0.0222222,0.411111,1.68952,1.68955
0.0222222,0.416667,1.6819,1.68193
0.0222222,0.422222,1.67422,1.67425
0.0222222,0.427778,1.66648,1.66651
0.0222222,0.433333,1.65868,1.65872
0.0222222,0.438889,1.65083,1.65087
0.0222222,0.444444,1.64293,1.64297
0.0222222,0.45,1.63497,1.63502
0.0222222,0.455556,1.62697,1.62702
0.0222222,0.461111,1.61892,1.61897
0.0222222,0.466667,1.61083,1.61088
0.0222222,0.472222,1.6027,1.60275
0.0222222,0.477778,1.59452,1.59458
0.0222222,0.483333,1.58631,1.58636
0.0222222,0.488889,1.57806,1.57811
0.0222222,0.494444,1.56978,1.56983
0.0277778,0,1.99846,1.99846
0.0277778,0.00555556,1.99839,1.9984
0.0277778,0.0111111,1.99821,1.99821
0.0277778,0.0166667,1.99791,1.9979
0.0277778,0.0222222,1.99747,1.99747
0.0277778,0.0277778,1.99692,1.99691
0.0277778,0.0333333,1.99626,1.99624
0.0277778,0.0388889,1.99546,1.99543
0.0277778,0.0444444,1.99453,1.99451
0.0277778,0.05,1.99348,1.99346
0.0277778,0.0555556,1.99233,1.99229
0.0277778,0.0611111,1.99104,1.991
0.0277778,0.0666667,1.98962,1.98959
0.0277778,0.0722222,1.98809,1.98805
0.0277778,0.0777778,1.98644,1.9864
0.0277778,0.0833333,1.98466,1.98462
0.0277778,0.0888889,1.98276,1.98272
0.0277778,0.0944444,1.98075,1.9807
0.0277778,0.1,1.97861,1.97856
0.0277778,0.105556,1.97635,1.9763
0.0277778,0.111111,1.97398,1.97392
0.0277778,0.116667,1.97148,1.97142
0.0277778,0.122222,1.96886,1.9688
0.0277778,0.127778,1.96612,1.96607
0.0277778,0.133333,1.96328,1.96322
0.0277778,0.138889,1.96031,1.96025
0.0277778,0.144444,1.95723,1.95716
0.0277778,0.15,1.95403,1.95396
0.0277778,0.155556,1.95071,1.95065
0.0277778,0.161111,1.94727,1.94722
0.0277778,0.166667,1.94373,1.94367
0.0277778,0.172222,1.94007,1.94002
0.0277778,0.177778,1.9363,1.93625
0.0277778,0.183333,1.93242,1.93236
0.0277778,0.188889,1.92843,1.92837
0.0277778,0.194444,1.92431,1.92427
0.0277778,0.2,1.9201,1.92006
0.0277778,0.205556,1.91577,1.91574
0.0277778,0.211111,1.91134,1.91131
0.0277778,0.216667,1.90681,1.90677
0.0277778,0.222222,1.90217,1.90213
0.0277778,0.227778,1.89743,1.89738
0.0277778,0.233333,1.89258,1.89253
0.0277778,0.238889,1.88763,1.88758
0.0277778,0.244444,1.88257,1.88252
0.0277778,0.25,1.87741,1.87736
0.0277778,0.255556,1.87215,1.87211
0.0277778,0.261111,1.86679,1.86675
0.0277778,0.266667,1.86134,1.86129
0.0277778,0.272222,1.85578,1.85574
0.0277778,0.277778,1.85013,1.85009
0.0277778,0.283333,1.84438,1.84435
0.0277778,0.288889,1.83854,1.83851
0.0277778,0.294444,1.83261,1.83258
0.0277778,0.3,1.82659,1.82656
0.0277778,0.305556,1.82047,1.82045
0.0277778,0.311111,1.81426,1.81425
0.0277778,0.316667,1.80797,1.80796
0.0277778,0.322222,1.80159,1.80158
0.0277778,0.327778,1.79513,1.79512
0.0277778,0.333333,1.78858,1.78858
0.0277778,0.338889,1.78196,1.78196
0.0277778,0.344444,1.77524,1.77525
0.0277778,0.35,1.76846,1.76846
0.0277778,0.355556,1.76159,1.7616
0.0277778,0.361111,1.75465,1.75466
0.0277778,0.366667,1.74763,1.74764
0.0277778,0.372222,1.74053,1.74055
0.0277778,0.377778,1.73337,1.73339
0.0277778,0.383333,1.72613,1.72616
0.0277778,0.388889,1.71883,1.71886
0.0277778,0.394444,1.71146,1.71149
0.0277778,0.4,1.70402,1.70406
0.0277778,0.405556,1.69652,1.69656
0.0277778,0.411111,1.68896,1.689
0.0277778,0.416667,1.68133,1.68138
