(h + 14*t)*(x+1)^16;(9*h + 15*t)*(x+1)^15;8*h*(x+1)^14;(6*h + 4*t)*(x+1)^13;(2*h + 12*t)*(x+1)^12;(11*h + 11*t)*(x+1)^11;(12*h + 9*t)*(x+1)^10;(14*h + 5*t)*(x+1)^9;(h + 14*t)*(x+1)^8;(9*h + 15*t)*(x+1)^7;8*h*(x+1)^6;(6*h + 4*t)*(x+1)^5;(2*h + 12*t)*(x+1)^4;(4*h + 7*t)*(x+1)^3;(7*h + 5*t)*(x+1)^2;(15*h + 16*t)*(x+1);15*t
(h + 15*t)*(x+1)^16;(12*h + 16*t)*(x+1)^15;t*(x+1)^14;(10*h + 5*t)*(x+1)^13;(13*h + 13*t)*(x+1)^12;(2*h + 12*t)*(x+1)^11;(14*h + 10*t)*(x+1)^10;(4*h + 6*t)*(x+1)^9;(h + 15*t)*(x+1)^8;(12*h + 16*t)*(x+1)^7;t*(x+1)^6;(10*h + 5*t)*(x+1)^5;(13*h + 13*t)*(x+1)^4;(9*h + 9*t)*(x+1)^3;(15*h + 15*t)*(x+1)^2;16*h*(x+1);(16*h + 16*t)
(h + 16*t)*(x+1)^16;15*h*(x+1)^15;(9*h + 2*t)*(x+1)^14;(14*h + 6*t)*(x+1)^13;(7*h + 14*t)*(x+1)^12;(10*h + 13*t)*(x+1)^11;(16*h + 11*t)*(x+1)^10;(11*h + 7*t)*(x+1)^9;(h + 16*t)*(x+1)^8;15*h*(x+1)^7;(9*h + 2*t)*(x+1)^6;(14*h + 6*t)*(x+1)^5;(7*h + 14*t)*(x+1)^4;(14*h + 11*t)*(x+1)^3;(6*h + 16*t)*(x+1)^2;9*t*(x+1);16*h

h*(x+2)^16;(2*h + t)*(x+2)^15;(4*h + 5*t)*(x+2)^14;(8*h + 2*t)*(x+2)^13;(16*h + 14*t)*(x+2)^12;(15*h + 7*t)*(x+2)^11;(13*h + 2*t)*(x+2)^10;(9*h + 2*t)*(x+2)^9;(h + 15*t)*(x+2)^8;(2*h + 12*t)*(x+2)^7;(4*h + 4*t)*(x+2)^6;(8*h + 16*t)*(x+2)^5;(16*h + 5*t)*(x+2)^4;(16*h + 13*t)*(x+2)^3;(6*h + 13*t)*(x+2)^2;(10*h + 13*t)*(x+2);(8*h + 10*t)
t*(x+2)^16;(3*h + 2*t)*(x+2)^15;(15*h + 4*t)*(x+2)^14;(6*h + 8*t)*(x+2)^13;(8*h + 16*t)*(x+2)^12;(4*h + 15*t)*(x+2)^11;(6*h + 13*t)*(x+2)^10;(6*h + 9*t)*(x+2)^9;(11*h + t)*(x+2)^8;(2*h + 2*t)*(x+2)^7;(12*h + 4*t)*(x+2)^6;(14*h + 8*t)*(x+2)^5;(15*h + 16*t)*(x+2)^4;(5*h + 16*t)*(x+2)^3;(9*h + 6*t)*(x+2)^2;(h + 10*t)*(x+2);(4*h + 8*t)
(h + t)*(x+2)^16;(5*h + 3*t)*(x+2)^15;(2*h + 9*t)*(x+2)^14;(14*h + 10*t)*(x+2)^13;(7*h + 13*t)*(x+2)^12;(2*h + 5*t)*(x+2)^11;(2*h + 15*t)*(x+2)^10;(15*h + 11*t)*(x+2)^9;(12*h + 16*t)*(x+2)^8;(4*h + 14*t)*(x+2)^7;(16*h + 8*t)*(x+2)^6;(5*h + 7*t)*(x+2)^5;(14*h + 4*t)*(x+2)^4;(4*h + 12*t)*(x+2)^3;(15*h + 2*t)*(x+2)^2;(11*h + 6*t)*(x+2);(12*h + t)
(h + 2*t)*(x+2)^16;(8*h + 5*t)*(x+2)^15;13*t*(x+2)^14;(3*h + t)*(x+2)^13;(15*h + 12*t)*(x+2)^12;(6*h + 3*t)*(x+2)^11;(8*h + 11*t)*(x+2)^10;(4*h + 3*t)*(x+2)^9;6*h*(x+2)^8;(6*h + 16*t)*(x+2)^7;(11*h + 12*t)*(x+2)^6;(2*h + 15*t)*(x+2)^5;(12*h + 3*t)*(x+2)^4;(9*h + 11*t)*(x+2)^3;(7*h + 8*t)*(x+2)^2;(12*h + 16*t)*(x+2);(16*h + 9*t)
(h + 3*t)*(x+2)^16;(11*h + 7*t)*(x+2)^15;15*h*(x+2)^14;(9*h + 9*t)*(x+2)^13;(6*h + 11*t)*(x+2)^12;(10*h + t)*(x+2)^11;(14*h + 7*t)*(x+2)^10;(10*h + 12*t)*(x+2)^9;t*(x+2)^8;(8*h + t)*(x+2)^7;(6*h + 16*t)*(x+2)^6;(16*h + 6*t)*(x+2)^5;(10*h + 2*t)*(x+2)^4;(14*h + 10*t)*(x+2)^3;(16*h + 14*t)*(x+2)^2;(13*h + 2*t)*(x+2);(3*h + 9*t)
(h + 4*t)*(x+2)^16;(14*h + 9*t)*(x+2)^15;(13*h + 4*t)*(x+2)^14;15*h*(x+2)^13;(14*h + 10*t)*(x+2)^12;(14*h + 16*t)*(x+2)^11;(3*h + 3*t)*(x+2)^10;(16*h + 4*t)*(x+2)^9;(11*h + 2*t)*(x+2)^8;(10*h + 3*t)*(x+2)^7;(h + 3*t)*(x+2)^6;(13*h + 14*t)*(x+2)^5;(8*h + t)*(x+2)^4;(2*h + 9*t)*(x+2)^3;(8*h + 3*t)*(x+2)^2;(14*h + 11*t)*(x+2);7*h
(h + 5*t)*(x+2)^16;11*t*(x+2)^15;(11*h + 8*t)*(x+2)^14;(4*h + 8*t)*(x+2)^13;(5*h + 9*t)*(x+2)^12;(h + 14*t)*(x+2)^11;(9*h + 16*t)*(x+2)^10;(5*h + 13*t)*(x+2)^9;(5*h + 3*t)*(x+2)^8;(12*h + 5*t)*(x+2)^7;(13*h + 7*t)*(x+2)^6;(10*h + 5*t)*(x+2)^5;6*h*(x+2)^4;(7*h + 8*t)*(x+2)^3;9*t*(x+2)^2;(15*h + 2*t)*(x+2);(11*h + 8*t)
(h + 6*t)*(x+2)^16;(3*h + 13*t)*(x+2)^15;(9*h + 12*t)*(x+2)^14;(10*h + 16*t)*(x+2)^13;(13*h + 8*t)*(x+2)^12;(5*h + 12*t)*(x+2)^11;(15*h + 12*t)*(x+2)^10;(11*h + 5*t)*(x+2)^9;(16*h + 4*t)*(x+2)^8;(14*h + 7*t)*(x+2)^7;(8*h + 11*t)*(x+2)^6;(7*h + 13*t)*(x+2)^5;(4*h + 16*t)*(x+2)^4;(12*h + 7*t)*(x+2)^3;(9*h + 15*t)*(x+2)^2;(16*h + 11*t)*(x+2);(15*h + t)
(h + 7*t)*(x+2)^16;(6*h + 15*t)*(x+2)^15;(7*h + 16*t)*(x+2)^14;(16*h + 7*t)*(x+2)^13;(4*h + 7*t)*(x+2)^12;(9*h + 10*t)*(x+2)^11;(4*h + 8*t)*(x+2)^10;14*t*(x+2)^9;(10*h + 5*t)*(x+2)^8;(16*h + 9*t)*(x+2)^7;(3*h + 15*t)*(x+2)^6;(4*h + 4*t)*(x+2)^5;(2*h + 15*t)*(x+2)^4;6*t*(x+2)^3;(h + 4*t)*(x+2)^2;3*t*(x+2);(2*h + 10*t)
(h + 8*t)*(x+2)^16;9*h*(x+2)^15;(5*h + 3*t)*(x+2)^14;(5*h + 15*t)*(x+2)^13;(12*h + 6*t)*(x+2)^12;(13*h + 8*t)*(x+2)^11;(10*h + 4*t)*(x+2)^10;(6*h + 6*t)*(x+2)^9;(4*h + 6*t)*(x+2)^8;(h + 11*t)*(x+2)^7;(15*h + 2*t)*(x+2)^6;(h + 12*t)*(x+2)^5;14*t*(x+2)^4;(5*h + 5*t)*(x+2)^3;(10*h + 10*t)*(x+2)^2;(h + 12*t)*(x+2);(6*h + 2*t)
(h + 9*t)*(x+2)^16;(12*h + 2*t)*(x+2)^15;(3*h + 7*t)*(x+2)^14;(11*h + 6*t)*(x+2)^13;(3*h + 5*t)*(x+2)^12;6*t*(x+2)^11;16*h*(x+2)^10;(12*h + 15*t)*(x+2)^9;(15*h + 7*t)*(x+2)^8;(3*h + 13*t)*(x+2)^7;(10*h + 6*t)*(x+2)^6;(15*h + 3*t)*(x+2)^5;(15*h + 13*t)*(x+2)^4;(10*h + 4*t)*(x+2)^3;(2*h + 16*t)*(x+2)^2;(2*h + 4*t)*(x+2);(10*h + 9*t)
